level	kind	group	se	cn_mean	nearest_gene	dist_kb
OncotreeLineage	rescued	Bone	USE_23940	0.97	PCSK2	186
OncotreeLineage	rescued	Myeloid	USE_36790	0.977	HGF	111
OncotreeLineage	rescued	Bowel	USE_478	0.992	PLA2G2E	4
OncotreeLineage	rescued	Skin	USE_35776	1.311	AGR3	78
OncotreeLineage	rescued	Bowel	USE_18113	1.005	VAPA	264
OncotreeLineage	rescued	Lymphoid	USE_33600	1.074	RIPOR2	13
OncotreeLineage	rescued	Skin	USE_30826	1.018	PDCD6	21
OncotreeLineage	rescued	Prostate	USE_37432	1.192	POT1	772
OncotreeLineage	rescued	Lymphoid	USE_33174	1.042	CDYL	49
OncotreeLineage	rescued	Lymphoid	USE_40608	0.816	PTPRD	146
OncotreeLineage	rescued	Lymphoid	USE_13878	1.038	ADAM10	83
OncotreeLineage	rescued	Lymphoid	USE_12288	0.846	RPL10L	111
OncotreeLineage	rescued	Lymphoid	USE_7758	1.058	CEP295	22
OncotreeLineage	rescued	Breast	USE_39607	2.009	TRPS1	170
OncotreeLineage	rescued	Soft Tissue	USE_32974	1.083	PROP1	25
OncotreeLineage	rescued	Lung	USE_42247	1.057	CACNA1B	17
OncotreeLineage	rescued	Lymphoid	USE_31407	1.033	GZMA	2
OncotreeLineage	rescued	Myeloid	USE_36381	0.997	IKZF1	71
OncotreeLineage	rescued	Lymphoid	USE_3088	1.15	CLEC20A	1
OncotreeLineage	rescued	Peripheral Nervous System	USE_6059	1.002	CACUL1	45
OncotreeLineage	rescued	Bone	USE_33961	0.95	LRFN2	79
OncotreeLineage	rescued	Head and Neck	USE_42110	1.369	VAV2	38
OncotreeLineage	rescued	Lymphoid	USE_25104	0.986	SAMSN1	190
OncotreeLineage	rescued	Peripheral Nervous System	USE_17693	1.779	PRCD	2
OncotreeLineage	rescued	Lymphoid	USE_11926	0.977	KLHL33	3
OncotreeLineage	rescued	Lymphoid	USE_22909	1.024	HECW2	21
OncotreeLineage	rescued	Myeloid	USE_31734	0.933	F2RL1	25
OncotreeLineage	rescued	Skin	USE_35361	0.851	QKI	589
OncotreeLineage	rescued	Lymphoid	USE_31802	1.041	RPS23	39
