level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean	dropped
line	IMR32	USE_20402	9	0.3395416160895637	0.0	LRATD1	257		69.702	True
line	IMR32	USE_20397	10	0.3418829939930753	0.0	LRATD1	26		69.702	True
line	HCC1954	USE_16757	9	0.6014704641424617	5.563635373850636e-230	GRB7	27		65.239	True
line	SNU16	USE_40016	11	0.4253955559999327	0.0	MYC	152		65.185	True
line	CHP134	USE_1658	3	0.545163327682053	3.824779795968229e-61	GBP7	12		60.964	True
line	D425	USE_39995	2	0.2413145836122206	0.0	POU5F1B	40		53.11	True
line	D425	USE_40001	14	0.5195495704273945	0.0	POU5F1B	26		53.11	True
line	D425	USE_39992	8	0.3622129163794859	0.0	POU5F1B	52		53.11	True
line	D425	USE_40011	13	0.4655804280892123	0.0	POU5F1B	155		53.11	True
line	D425	USE_40005	12	0.4532549280910916	0.0	POU5F1B	65		53.11	True
line	NGP	USE_20524	10	0.5219516341225156	0.0	CYRIA	346		48.361	True
line	NGP	USE_20525	2	0.4274365295593329	0.0	CYRIA	354		48.361	True
line	NGP	USE_20526	4	0.4547020021088893	0.0	CYRIA	385		48.361	True
line	NGP	USE_20523	9	0.5069850190201504	0.0	CYRIA	338		48.361	True
line	NGP	USE_20520	1	0.4251542575333702	0.0	CYRIA	236		48.361	True
line	NGP	USE_20522	11	0.5240049912201183	0.0	CYRIA	284		48.361	True
line	NGP	USE_20517	8	0.5046163084957664	0.0	CYRIA	93		48.361	True
line	NGP	USE_20521	6	0.4809291893435874	0.0	CYRIA	244		48.361	True
OncotreeSubtype	Pleural Mesothelioma, Biphasic Type	USE_40072	5	0.4935793595951075	1.2059580237736667e-126	MYC	584		45.239	True
line	MSTO211H	USE_40072	3	0.602092709809203	4.573302913161049e-281	MYC	584		45.239	True
line	SNU16	USE_6111	2	0.3682942425061823	0.0	WDR11	190		45.179	True
line	SNU16	USE_6108	9	0.4059562792087138	0.0	WDR11	99		45.179	True
line	SNU16	USE_6113	14	0.4500144685598025	0.0	WDR11	276		45.179	True
line	D425	USE_40027	10	0.4219837881051432	0.0	MYC	23		43.377	True
line	D425	USE_40021	15	0.5221075958069727	0.0	MYC	92		43.377	True
line	D425	USE_40086	6	0.3533141437613694	0.0	MYC	861		43.377	True
line	NCIH82	USE_39999	14	0.577874107733384	1.1676929471001136e-287	POU5F1B	8		41.318	True
line	NCIH82	USE_39995	7	0.5609813357810411	0.0	POU5F1B	40		41.318	True
line	NCIH82	USE_39982	8	0.5610177472053213	0.0	POU5F1B	209		41.318	True
line	NCIH82	USE_40001	5	0.5469620910960923	0.0	POU5F1B	26		41.318	True
line	NCIH82	USE_39996	15	0.5782015845290869	6.628256537328122e-286	POU5F1B	30		41.318	True
line	NCIN87	USE_16753	6	0.5902116207821401	0.0	PGAP3	4		40.733	True
OncotreePrimaryDisease	Embryonal Tumor	USE_40021	12	0.2475331157455181	2.8836000593989403e-238	MYC	92		40.391	True
line	CHP212	USE_20374	11	0.4960498634435552	0.0	TRIB2	195		40.173	True
line	CHP212	USE_20363	12	0.4996944406161955	0.0	TRIB2	447		40.173	True
line	CHP212	USE_20376	9	0.4811861933664357	0.0	TRIB2	143		40.173	True
line	CHP212	USE_20370	15	0.5040285577669381	0.0	TRIB2	287		40.173	True
line	CHP212	USE_20373	14	0.5001067741241774	0.0	TRIB2	221		40.173	True
line	CHP212	USE_20375	5	0.4448710283584742	0.0	TRIB2	174		40.173	True
line	CHP212	USE_20364	6	0.4680604489896143	0.0	TRIB2	442		40.173	True
line	CHP212	USE_20378	7	0.4742097244303534	0.0	TRIB2	123		40.173	True
line	CHP212	USE_20383	3	0.4415521616750256	0.0	TRIB2	15		40.173	True
line	NCIN87	USE_16752	2	0.5640106309986301	0.0	PGAP3	4		40.121	True
line	SKNDZ	USE_20435	10	0.5085865859514185	0.0	DDX1	97		39.654	True
line	SNU16	USE_6828	13	0.4463696019850406	0.0	PDHX	72		38.604	True
line	SNU16	USE_6826	12	0.4393596204875764	0.0	PDHX	26		38.604	True
line	D425	USE_12457	3	0.2783138635454731	0.0	OTX2	0		38.191	True
line	D425	USE_12458	7	0.3540591624834255	0.0	OTX2	80		38.191	True
line	D425	USE_12460	11	0.4404211268544648	0.0	OTX2	94		38.191	True
line	D425	USE_12456	9	0.384946273371772	0.0	OTX2	2		38.191	True
line	D425	USE_12459	5	0.3455631301683903	0.0	OTX2	88		38.191	True
line	NCIH82	USE_40020	12	0.5751624682335573	2.172251251455557e-302	MYC	103		37.87	True
line	NCIH82	USE_40021	6	0.5557690614650553	0.0	MYC	92		37.87	True
line	NCIN87	USE_16750	4	0.5856337718787954	0.0	ERBB2	5		37.509	True
line	SNU16	USE_40010	5	0.3786656209788391	0.0	POU5F1B	138		34.311	True
OncotreeSubtype	Stomach Adenocarcinoma	USE_6120	14	0.3962121734930697	2.449710512114397e-127	FGFR2	14		33.336	True
OncotreeSubtype	Stomach Adenocarcinoma	USE_6123	1	0.2139645752689694	0.0	FGFR2	29		33.336	True
OncotreeSubtype	Stomach Adenocarcinoma	USE_6125	9	0.3635858286113059	1.0902231301658482e-161	FGFR2	58		33.336	True
OncotreeSubtype	Stomach Adenocarcinoma	USE_6126	8	0.3615278295114968	5.392901905494068e-164	FGFR2	64		33.336	True
line	CHP212	USE_20355	8	0.4760992054429621	0.0	LPIN1	307		32.486	True
line	CHP212	USE_20360	1	0.4143305323808672	0.0	LPIN1	484		32.486	True
line	CHP212	USE_20358	13	0.4997819653499017	0.0	LPIN1	403		32.486	True
line	CHP212	USE_20362	2	0.4157049175779693	0.0	TRIB2	460		32.486	True
line	IMR32	USE_21401	7	0.3274783813350659	0.0	ETAA1	79		32.352	True
line	IMR32	USE_21397	11	0.3420305897064516	0.0	ETAA1	178		32.352	True
line	IMR32	USE_21388	1	0.2489197263767214	0.0	ETAA1	397		32.352	True
line	IMR32	USE_20407	4	0.3081436354982028	0.0	LRATD1	355		31.696	True
line	IMR32	USE_20404	8	0.3304246325010179	0.0	LRATD1	274		31.696	True
line	IMR32	USE_20408	12	0.3551435223448037	0.0	NBAS	303		31.696	True
line	IMR32	USE_20405	2	0.2696283813272009	0.0	LRATD1	303		31.696	True
line	IMR32	USE_20406	15	0.374855152568777	0.0	LRATD1	354		31.696	True
line	MDAMB468	USE_36428	2	0.5298738855513943	0.0	EGFR	63		31.668	True
line	MDAMB468	USE_36427	5	0.5368127550452018	0.0	EGFR	4		31.668	True
line	MDAMB468	USE_36423	3	0.5352107599192044	0.0	EGFR	150		31.668	True
line	MDAMB468	USE_36421	6	0.5523240639721932	0.0	EGFR	150		31.668	True
line	MDAMB468	USE_36426	11	0.5789199138914187	3.5939894996467395e-278	EGFR	7		31.668	True
line	MDAMB468	USE_36422	1	0.5088652182119959	0.0	EGFR	168		31.668	True
line	SUMB002	USE_12452	11	0.3563943123792328	0.0	OTX2	65		31.563	True
