level	group	se	gene	dist_kb	se_rank	se_fdr	gene_fdr	gene_specific	rho
OncotreeLineage	Head and Neck	USE_41273	CKS2	56	14	2.5310272227885843e-73	0.9003485398240321	False	0.11756347220301047
OncotreeLineage	Head and Neck	USE_23566	ASB1	46	15	3.368416917272861e-71	0.9003485398240321	False	0.14454509480864763
OncotreeLineage	Kidney	USE_16793	KRT24	18	1	3.0941681924886975e-52	2.2586347839258542e-23	True	0.2699181571929818
OncotreeLineage	Kidney	USE_25983	NF2	12	2	8.555760111366756e-39	0.9003485398240321	False	0.21550810537617782
OncotreeLineage	Kidney	USE_27605	ZPLD1	197	3	2.0532106589420715e-38	2.6919522316949682e-05	True	0.25024368723256324
OncotreeLineage	Kidney	USE_9257	TMEM117	41	4	3.420599745168934e-34	0.9003485398240321	False	0.14708371381583607
OncotreeLineage	Kidney	USE_35372	PDE10A	38	5	1.0737877413566269e-33	0.61853002937176	False	0.4051069835392974
OncotreeLineage	Kidney	USE_27604	ZPLD1	199	6	6.8537965518886e-33	2.6919522316949682e-05	True	0.22502496615966136
OncotreeLineage	Kidney	USE_6028	GFRA1	67	7	1.2735609464115433e-32	0.0005952142184667812	True	0.42363889723128834
OncotreeLineage	Kidney	USE_40377	PTP4A3	390	8	4.835796140362161e-32	0.9941292352023782	False	0.02468468241892283
OncotreeLineage	Kidney	USE_10031	DCN	166	9	7.211956944579594e-30	0.8769045098639823	False	0.27697295608289674
OncotreeLineage	Kidney	USE_31880	NR2F1	596	10	1.8933294213680624e-29	0.9003485398240321	False	0.33368498727547374
OncotreeLineage	Kidney	USE_27552	COL8A1	59	11	1.1300919384660344e-28	0.1736143022142254	False	0.46143686270772777
OncotreeLineage	Kidney	USE_4618	CAMK1D	98	12	2.1957662804742964e-28	0.9003485398240321	False	0.3703687452350558
OncotreeLineage	Kidney	USE_28859	RTP4	137	13	1.5924546769092398e-27	0.9003485398240321	False	0.09771178871673905
OncotreeLineage	Kidney	USE_30529	PDGFC	23	14	4.137729823233553e-27	0.9003485398240321	False	0.536446216692389
OncotreeLineage	Kidney	USE_40124	GSDMC	40	15	1.6448025717432082e-26	1.0	False	0.18751637568649418
OncotreeLineage	Liver	USE_18627	ALPK2	142	1	5.301834741560298e-57	0.29969841135150177	False	0.2837623118987319
OncotreeLineage	Liver	USE_19467	CEBPA	23	2	1.1627966596446435e-55	0.050720312161131154	True	0.34467706432991135
OncotreeLineage	Liver	USE_35423	AFDN	223	3	6.991113327766472e-55	0.9003485398240321	False	0.2636263936487263
OncotreeLineage	Liver	USE_29822	AFP	11	4	7.860191556378123e-51	1.0048600537715448e-26	True	0.175914578789534
OncotreeLineage	Liver	USE_4543	ITIH2	22	5	2.8247427675109895e-50	2.1147135955028383e-87	True	0.10258147994471806
OncotreeLineage	Liver	USE_38270	FGL1	20	6	3.2728454581183225e-48	9.238385400467717e-30	True	0.30775420180335306
OncotreeLineage	Liver	USE_28895	LPP	224	7	1.8911040424454622e-47	0.9003485398240321	False	0.2485011027185766
OncotreeLineage	Liver	USE_18628	ALPK2	108	8	4.429333828530264e-46	0.29969841135150177	False	0.022904065273635966
OncotreeLineage	Liver	USE_15064	ACSM5	1	9	1.5631884574969711e-43	8.209655174223608e-17	True	0.2052675492738536
OncotreeLineage	Liver	USE_19331	SLC25A42	10	10	1.226893324273585e-41	0.9003485398240321	False	0.12438178597333409
OncotreeLineage	Liver	USE_28291	GPR171	2	11	9.005265302598906e-40	0.9003485398240321	False	0.030945459618159317
OncotreeLineage	Liver	USE_2791	APOA2	1	12	1.6563913326963896e-39	1.216968533078809e-47	True	0.12795594179950182
OncotreeLineage	Liver	USE_34278	EYS	411	13	1.6978816292577887e-39	0.9286264216418314	False	0.08865770918475337
OncotreeLineage	Liver	USE_20595	APOB	27	14	2.5263835263054427e-39	8.244083553022412e-91	True	0.10936399057426868
OncotreeLineage	Liver	USE_5688	CYP2C9	60	15	1.7029214061550802e-38	4.954411163470703e-07	True	0.2522443254509157
OncotreeLineage	Lung	USE_20518	CYRIA	105	1	1.6567823291030168e-69	1.0	False	0.20270624597350742
OncotreeLineage	Lung	USE_20823	TTC27	191	2	1.7080084959594716e-44	0.9003485398240321	False	-0.011090328209609372
OncotreeLineage	Lung	USE_20822	TTC27	199	3	8.762945710185621e-41	0.9003485398240321	False	-0.036050857493121896
OncotreeLineage	Lung	USE_27475	VGLL3	520	4	4.110799462307622e-40	0.9003485398240321	False	0.13721700102353368
OncotreeLineage	Lung	USE_39938	LRATD2	456	5	1.0354581532093654e-37	0.9003485398240321	False	0.2336423393131756
OncotreeLineage	Lung	USE_24383	CHD6	140	6	3.8663386696411625e-37	0.9003485398240321	False	0.1390918350665845
OncotreeLineage	Lung	USE_39937	LRATD2	471	7	8.536029857734358e-36	0.9003485398240321	False	0.23157923745250253
OncotreeLineage	Lung	USE_24022	NKX2-2	76	8	2.8996982593304508e-33	2.7863711288305925e-32	True	0.2674075848247581
OncotreeLineage	Lung	USE_10233	C12orf42	121	9	1.227632321885469e-32	5.4170798948753475e-158	True	0.2484064273869315
OncotreeLineage	Lung	USE_17525	SOX9	960	10	6.611940982496751e-32	0.9003485398240321	False	0.3281103260836998
OncotreeLineage	Lung	USE_42261	SHOX	185	11	1.0334289250390103e-31	2.335824844134186e-16	True	0.10697104046098678
OncotreeLineage	Lung	USE_39944	LRATD2	377	12	4.910465884726991e-31	0.9003485398240321	False	0.1947751697893639
OncotreeLineage	Lung	USE_39943	LRATD2	392	13	1.1654538486497896e-30	0.9003485398240321	False	0.1619391819726319
OncotreeLineage	Lung	USE_924	MACF1	64	14	1.5076004192995536e-29	0.9003485398240321	False	0.20214652204193037
OncotreeLineage	Lung	USE_20183	MYT1L	271	15	2.3033411655629927e-29	1.1711377077500414e-152	True	0.3674481658799018
OncotreeLineage	Lymphoid	USE_25829	IGLL5	50	1	2.677656049416597e-74	2.825945596835317e-15	True	0.20939842241340229
OncotreeLineage	Lymphoid	USE_25830	IGLL5	37	2	3.5647012727797833e-67	2.825945596835317e-15	True	0.21099804018486304
OncotreeLineage	Lymphoid	USE_37772	PRSS2	29	3	7.073095665071081e-61	0.812252453018781	False	0.294844280643587
OncotreeLineage	Lymphoid	USE_13286	TMEM121	47	4	2.868085600992034e-46	0.9088476648310658	False	0.06380566156838424
OncotreeLineage	Lymphoid	USE_13292	TMEM121	157	5	3.1581147822714066e-42	0.9088476648310658	False	0.04247976132320284
OncotreeLineage	Lymphoid	USE_25828	IGLL5	13	6	1.4376425883560707e-41	2.825945596835317e-15	True	0.2022405258792988
OncotreeLineage	Lymphoid	USE_8356	ETS1	87	7	3.8725669951204923e-38	0.9003485398240321	False	0.2826461821161869
