ncit_code	n_support	lineage_purity	lineage	primary_disease	subtype	oncotree_code
C6764	2	1.00	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Small Cell Carcinoma of the Stomach	STSC
C6766	1	1.00	Prostate	Prostate Small Cell Carcinoma	Prostate Small Cell Carcinoma	PRSCC
C68659	1	1.00	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1	BLLBCRABL1
C6906	5	1.00	CNS/Brain	Embryonal Tumor	Atypical Teratoid/Rhabdoid Tumor	ATRT
C6915	6	1.00	Lymphoid	Mature B-Cell Neoplasms	Primary Effusion Lymphoma	PEL
C6975	2	1.00	Kidney	Renal Cell Carcinoma	Papillary Renal Cell Carcinoma	PRCC
C7027	4	1.00	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma	ESCA
C7106	1	1.00	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	HCC
C7152	4	1.00	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML
C7154	1	1.00	Soft Tissue	Leiomyosarcoma	Leiomyosarcoma	LMS
C7155	2	1.00	Bone	Chondrosarcoma	Chondrosarcoma	CHS
C7210	1	1.00	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma	T-Lymphoblastic Leukemia/Lymphoma	TLL
C7320	2	1.00	Myeloid	Myeloproliferative Neoplasms	Chronic Myeloid Leukemia, BCR-ABL1+	CMLBCRABL1
C7355	1	1.00	Kidney	Renal Cell Carcinoma	Renal Cell Carcinoma	RCC
C7359	14	1.00	Uterus	Endometrial Carcinoma	Endometrial Carcinoma	UCEC
C7376	6	1.00	Pleura	Pleural Mesothelioma	Pleural Mesothelioma	PLMESO
C7402	4	1.00	Lymphoid	Mature B-Cell Neoplasms	Hairy Cell Leukemia	HCL
C7541	2	1.00	Eye	Retinoblastoma	Retinoblastoma	RBL
C7542	3	0.67	Bone	Ewing Sarcoma	Ewing Sarcoma	ES
C7550	8	1.00	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	SOC
C7558	4	1.00	Uterus	Endometrial Carcinoma	Endometrial Carcinoma	UCEC
C7572	1	1.00	Kidney	Renal Cell Carcinoma	Renal Medullary Carcinoma	MRC
C76328	1	1.00	Breast	Invasive Breast Carcinoma	Breast Invasive Lobular Carcinoma	ILC
