cvcl	cell_line	category	lineage	subtype	lineage_source	n_experiments	identity	data_status	cn_status	cn_from	tier	include	exclude_reason
CVCL_1989	COLO 320	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0219	COLO 320DM	Cancer cell line	Bowel	Colon Adenocarcinoma	cellosaurus_ncit	2	Cellosaurus-only	needs pull	lookup (other DB)	Progenetix	B	1	
CVCL_0220	COLO 320HSR	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	2	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
CVCL_1151	CW-2	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
CVCL_9798	DKO-1	Cancer cell line	Bowel	Colon Adenocarcinoma	cellosaurus_ncit	2	Cellosaurus-only	needs pull	infer (from input)	matched input	C	1	
CVCL_0248	DLD-1	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	23	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1235	GP5d	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
CVCL_1266	HCC2998	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	2	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
CVCL_0291	HCT 116	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	153	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0292	HCT-15	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	4	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0320	HT-29	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	24	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_2520	HT115	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	10	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1331	KM-12	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	2	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0399	LoVo	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	13	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1384	LS-174T	Cancer cell line	Bowel	Colon Adenocarcinoma	cellosaurus_ncit	1	Cellosaurus-only	needs pull	lookup (other DB)	Progenetix,CMP	B	1	
CVCL_0397	LS-180	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0504	RKO	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	14	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_5112	SNU-C5	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
CVCL_1724	SW 48	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0546	SW 480	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	12	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0547	SW 620	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	5	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1729	SW 837	Cancer cell line	Bowel	Rectal Adenocarcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
