srx	cell_class	cell	cvcl	model_id	lineage	subtype	has_cn	has_dep	qc_pass	reads	pct_mapped	pct_dup	n_peaks
SRX16830141	Cardiovascular	EA.hy926	CVCL_3901				0	0	1	25921689	98.7	3.8	34926
SRX16830144	Cardiovascular	TeloHAEC	CVCL_Z065				0	0	1	22251116	98.6	3.6	36269
SRX16830145	Cardiovascular	TeloHAEC	CVCL_Z065				0	0	1	26028961	98.8	5.3	42135
SRX16830148	Cardiovascular	EA.hy926	CVCL_3901				0	0	1	9344331	98.9	15.5	15293
SRX16830149	Cardiovascular	EA.hy926	CVCL_3901				0	0	1	7615677	99.1	9.8	14302
SRX16830150	Cardiovascular	EA.hy926	CVCL_3901				0	0	1	7471995	98.9	11.4	12881
SRX16830151	Cardiovascular	EA.hy926	CVCL_3901				0	0	1	7086373	98.8	12.4	6148
SRX16830152	Cardiovascular	EA.hy926	CVCL_3901				0	0	1	7968717	98.9	11.7	15147
SRX16830153	Cardiovascular	EA.hy926	CVCL_3901				0	0	1	7653457	99.1	9.3	19061
SRX16830154	Cardiovascular	EA.hy926	CVCL_3901				0	0	1	7685779	99.0	10.6	14708
SRX16830155	Cardiovascular	EA.hy926	CVCL_3901				0	0	1	8376887	98.9	8.7	17875
SRX16830156	Cardiovascular	TeloHAEC	CVCL_Z065				0	0	1	5049888	98.8	15.3	3676
SRX16830157	Cardiovascular	TeloHAEC	CVCL_Z065				0	0	1	6625398	99.0	13.2	11511
SRX16830158	Cardiovascular	TeloHAEC	CVCL_Z065				0	0	1	7177252	99.0	10.4	19025
SRX16830159	Cardiovascular	TeloHAEC	CVCL_Z065				0	0	1	5789617	99.1	13.2	13665
SRX16830160	Cardiovascular	TeloHAEC	CVCL_Z065				0	0	1	6529021	98.9	11.0	12559
SRX16830161	Cardiovascular	TeloHAEC	CVCL_Z065				0	0	1	7037846	98.9	13.4	18696
SRX16830162	Cardiovascular	TeloHAEC	CVCL_Z065				0	0	1	6649635	98.9	13.2	3833
SRX16830163	Cardiovascular	TeloHAEC	CVCL_Z065				0	0	1	6848051	98.9	13.5	12930
SRX1683035	Pluripotent stem cell	iPSC derived neural cells					0	0	1	10087163	0.0	0.1	13475
SRX16838265	Blood	CCMCL1	CVCL_RU10				0	0	1	47977901	98.4	21.9	16355
SRX16838266	Blood	CCMCL1	CVCL_RU10				0	0	1	64946832	98.2	24.3	12584
SRX16838267	Blood	CCMCL1	CVCL_RU10				0	0	1	51886649	98.3	22.7	16457
SRX16838268	Blood	CCMCL1	CVCL_RU10				0	0	1	52185826	98.1	21.1	14780
SRX1690202	Neural	BE(2)-C	CVCL_0529				0	0	1	25773059	97.8	15.0	37715
SRX1690208	Neural	KELLY	CVCL_2092	ACH-000259	Peripheral Nervous System	Neuroblastoma	1	1	1	81465478	95.2	12.1	44661
SRX1690211	Neural	NGP	CVCL_2141	ACH-001366	Peripheral Nervous System	Neuroblastoma	1	1	1	48845485	95.5	7.9	24729
SRX1690214	Neural	Neuroblastoma					0	0	1	33626927	89.5	5.1	37154
SRX1690219	Neural	Neuroblastoma					0	0	1	27442484	88.3	4.9	27581
SRX1690223	Neural	Neuroblastoma					0	0	1	91113282	88.5	8.7	63196
SRX1690253	Neural	Neuroblastoma					0	0	1	117159027	64.3	10.3	44225
SRX1690257	Neural	Neuroblastoma					0	0	1	88869078	57.2	7.4	32887
SRX1690261	Neural	Neuroblastoma					0	0	1	70991370	70.0	8.5	33325
SRX1694146	Neural	BE(2)-C	CVCL_0529				0	0	1	20328403	96.5	11.3	40089
SRX1694151	Neural	SH-SY5Y	CVCL_0019	ACH-001188	Peripheral Nervous System	Neuroblastoma	1	1	1	23207279	98.1	9.9	49469
SRX1694158	Neural	IMR-5/75	CVCL_M473				0	0	1	24834207	98.5	7.3	26651
SRX17010226	Prostate	Prostate adenocarcinoma					0	0	1	122119083	94.5	58.9	51723
SRX17010227	Prostate	Prostate adenocarcinoma					0	0	1	135251509	85.5	60.7	50305
SRX17010228	Prostate	Prostate neuroendocrine like cells					0	0	1	137556702	92.0	65.3	49157
SRX17010229	Prostate	Prostate neuroendocrine like cells					0	0	1	107140766	94.7	53.5	53678
SRX17010400	Blood	JJN-3	CVCL_2078	ACH-000653	Lymphoid	Plasma Cell Myeloma	1	1	1	18899984	99.3	5.1	21230
SRX17010416	Blood	U-266	CVCL_0566	ACH-000626	Lymphoid	Plasma Cell Myeloma	0	0	0	29849797	0.0	7.1	0
SRX17010417	Blood	U-266	CVCL_0566	ACH-000626	Lymphoid	Plasma Cell Myeloma	0	0	0	35570816	0.0	7.6	0
