srx	cell	cvcl	model_id	lineage	subtype
SRX4142985	NCI-H1048	CVCL_1453	ACH-000866	Lung	Small Cell Lung Cancer
SRX4142991	NCI-H146	CVCL_1473	ACH-000506	Lung	Small Cell Lung Cancer
SRX4142993	NCI-H146	CVCL_1473	ACH-000506	Lung	Small Cell Lung Cancer
SRX4142995	NCI-H211	CVCL_1529	ACH-000639	Lung	Small Cell Lung Cancer
SRX4142997	NCI-H211	CVCL_1529	ACH-000639	Lung	Small Cell Lung Cancer
SRX4142999	NCI-H446	CVCL_1562	ACH-000800	Lung	Small Cell Lung Cancer
SRX4143001	NCI-H446	CVCL_1562	ACH-000800	Lung	Small Cell Lung Cancer
SRX4143003	NCI-H510A	CVCL_1565	ACH-000871	Lung	Small Cell Lung Cancer
SRX4143005	NCI-H510A	CVCL_1565	ACH-000871	Lung	Small Cell Lung Cancer
SRX4143007	NCI-H524	CVCL_1568	ACH-000816	Lung	Small Cell Lung Cancer
SRX4143009	NCI-H524	CVCL_1568	ACH-000816	Lung	Small Cell Lung Cancer
SRX4143011	NCI-H526	CVCL_1569	ACH-000767	Lung	Small Cell Lung Cancer
SRX4143013	NCI-H526	CVCL_1569	ACH-000767	Lung	Small Cell Lung Cancer
SRX4143015	NCI-H69	CVCL_1579	ACH-000358	Lung	Small Cell Lung Cancer
SRX4143017	NCI-H69	CVCL_1579	ACH-000358	Lung	Small Cell Lung Cancer
SRX4143019	NCI-H82	CVCL_1591	ACH-000355	Lung	Small Cell Lung Cancer
SRX4143021	NCI-H82	CVCL_1591	ACH-000355	Lung	Small Cell Lung Cancer
SRX4143023	NCI-H889	CVCL_1598	ACH-000297	Lung	Small Cell Lung Cancer
SRX4143025	NCI-H889	CVCL_1598	ACH-000297	Lung	Small Cell Lung Cancer
SRX4143027	COR-L311	CVCL_2412	ACH-000187	Lung	Small Cell Lung Cancer
SRX4143029	COR-L311	CVCL_2412	ACH-000187	Lung	Small Cell Lung Cancer
SRX4143031	NCI-H1048	CVCL_1453	ACH-000866	Lung	Small Cell Lung Cancer
SRX4143033	NCI-H1048	CVCL_1453	ACH-000866	Lung	Small Cell Lung Cancer
SRX4143063	Kasumi-1	CVCL_0589	ACH-000263	Myeloid	Acute Myeloid Leukemia
SRX4143067	Kasumi-1	CVCL_0589	ACH-000263	Myeloid	Acute Myeloid Leukemia
SRX4155652	KELLY	CVCL_2092	ACH-000259	Peripheral Nervous System	Neuroblastoma
SRX4155653	KELLY	CVCL_2092	ACH-000259	Peripheral Nervous System	Neuroblastoma
SRX4155664	KELLY	CVCL_2092	ACH-000259	Peripheral Nervous System	Neuroblastoma
SRX4155665	KELLY	CVCL_2092	ACH-000259	Peripheral Nervous System	Neuroblastoma
SRX4155867	TC-32	CVCL_7151	ACH-001205	Bone	Ewing Sarcoma
SRX4155868	TC-32	CVCL_7151	ACH-001205	Bone	Ewing Sarcoma
SRX4155875	TC-71	CVCL_2213	ACH-000424	Bone	Ewing Sarcoma
SRX4155876	TC-71	CVCL_2213	ACH-000424	Bone	Ewing Sarcoma
SRX4179931	PA-TU-8988S	CVCL_1846	ACH-000022	Pancreas	Pancreatic Adenocarcinoma
SRX4179935	AsPC-1	CVCL_0152	ACH-000222	Pancreas	Pancreatic Adenocarcinoma
