srx	gsm	name	cell_group	cell_line	cell_type	antibody
SRX4521391	GSM3324473	H3K27ac (@ Macrophages)	Blood		monocyte derived macrophage	Histone H3 lysine 27 acetyl, Active Motif #39133, (H3K27ac)
SRX4521392	GSM3324474	H3K27ac (@ Macrophages)	Blood		monocyte derived macrophage	Histone H3 lysine 27 acetyl, Active Motif #39133, (H3K27ac)
SRX4521393	GSM3324475	H3K27ac (@ Macrophages)	Blood		monocyte derived macrophage	Histone H3 lysine 27 acetyl, Active Motif #39133, (H3K27ac)
SRX4521394	GSM3324476	H3K27ac (@ Macrophages)	Blood		monocyte derived macrophage	Histone H3 lysine 27 acetyl, Active Motif #39133, (H3K27ac)
SRX4521395	GSM3324477	H3K27ac (@ Macrophages)	Blood		monocyte derived macrophage	Histone H3 lysine 27 acetyl, Active Motif #39133, (H3K27ac)
SRX4001766	GSM3111911	H3K27ac (@ Macrophages)	Blood		monocyte derived macrophages (MDM)	H3K27ac, Active Motif: #39133
SRX4001767	GSM3111912	H3K27ac (@ Macrophages)	Blood		monocyte derived macrophages (MDM)	H3K27ac, Active Motif: #39133
SRX4001768	GSM3111913	H3K27ac (@ Macrophages)	Blood		monocyte derived macrophages (MDM)	H3K27ac, Active Motif: #39133
SRX4001769	GSM3111914	H3K27ac (@ Macrophages)	Blood		monocyte derived macrophages (MDM)	H3K27ac, Active Motif: #39133
SRX379241	GSM1268011	H3K27ac (@ Dendritic Cells)	Blood		monocyte-derived DCs	H3K27ac (CST #4353, lot 1)
SRX1614812	GSM2081239	H3K27ac (@ Dendritic Cells)	Blood		monocyte-derived dendritic cells	H3K27ac (cat# C15410196, lot# A1723-0041D, Diagenode)
SRX1614813	GSM2081240	H3K27ac (@ Dendritic Cells)	Blood		monocyte-derived dendritic cells	H3K27ac (cat# C15410196, lot# A1723-0041D, Diagenode)
SRX1614814	GSM2081241	H3K27ac (@ Dendritic Cells)	Blood		monocyte-derived dendritic cells	H3K27ac (cat# C15410196, lot# A1723-0041D, Diagenode)
SRX13114399	GSM5687496	H3K27ac (@ Monocytes)	Blood		monocytes	H3K27ac
SRX13114401	GSM5687498	H3K27ac (@ Monocytes)	Blood		monocytes	H3K27ac
SRX13114403	GSM5687500	H3K27ac (@ Monocytes)	Blood		monocytes	H3K27ac
SRX13114405	GSM5687502	H3K27ac (@ Monocytes)	Blood		monocytes	H3K27ac
SRX13114407	GSM5687504	H3K27ac (@ Monocytes)	Blood		monocytes	H3K27ac
SRX13114409	GSM5687506	H3K27ac (@ Monocytes)	Blood		monocytes	H3K27ac
SRX13114411	GSM5687508	H3K27ac (@ Monocytes)	Blood		monocytes	H3K27ac
SRX13114413	GSM5687510	H3K27ac (@ Monocytes)	Blood		monocytes	H3K27ac
SRX13114415	GSM5687512	H3K27ac (@ Monocytes)	Blood		monocytes	H3K27ac
SRX13114417	GSM5687514	H3K27ac (@ Monocytes)	Blood		monocytes	H3K27ac
SRX13114419	GSM5687516	H3K27ac (@ Monocytes)	Blood		monocytes	H3K27ac
SRX13114421	GSM5687518	H3K27ac (@ Monocytes)	Blood		monocytes	H3K27ac
SRX379238	GSM1268008	H3K27ac (@ Monocytes)	Blood		monocytes	H3K27ac (CST #4353, lot 1)
SRX9317510	GSM4837549	H3K27ac (@ Monocytes)	Blood		monocytes	
SRX9317512	GSM4837551	H3K27ac (@ Monocytes)	Blood		monocytes	
SRX9317514	GSM4837553	H3K27ac (@ Monocytes)	Blood		monocytes	
SRX9317516	GSM4837555	H3K27ac (@ Monocytes)	Blood		monocytes	
SRX9317518	GSM4837557	H3K27ac (@ Monocytes)	Blood		monocytes	
SRX9317520	GSM4837559	H3K27ac (@ Monocytes)	Blood		monocytes	
SRX9317522	GSM4837561	H3K27ac (@ Monocytes)	Blood		monocytes	
SRX9317524	GSM4837563	H3K27ac (@ Monocytes)	Blood		monocytes	
SRX9317526	GSM4837565	H3K27ac (@ Monocytes)	Blood		monocytes	
SRX21971941	GSM7818416	H3K27ac (@ Multiple Myeloma)	Blood	multiple myeloma		
SRX21971942	GSM7818417	H3K27ac (@ Multiple Myeloma)	Blood	multiple myeloma		
SRX21971943	GSM7818418	H3K27ac (@ Multiple Myeloma)	Blood	multiple myeloma		
SRX10760269	GSM5277988	H3K27ac (@ Large cell lymphoma)	Blood	n.a.	anaplastic large cell lymphoma cells	H3K27ac
SRX10760271	GSM5277990	H3K27ac (@ Large cell lymphoma)	Blood	n.a.	anaplastic large cell lymphoma cells	H3K27ac
SRX11159842	GSM5374427	H3K27ac (@ Naive B cells)	Blood		naive B cell	
SRX11159843	GSM5374428	H3K27ac (@ Naive B cells)	Blood		naive B cell	
SRX11161887	GSM5378951	H3K27ac (@ Naive B cells)	Blood		naive B cell	
SRX11161888	GSM5378952	H3K27ac (@ Naive B cells)	Blood		naive B cell	
SRX11165944	GSM5374336	H3K27ac (@ Naive B cells)	Blood		naive B cell	
SRX11165945	GSM5374337	H3K27ac (@ Naive B cells)	Blood		naive B cell	
SRX11166871	GSM5374406	H3K27ac (@ Naive B cells)	Blood		naive B cell	
SRX11166872	GSM5374407	H3K27ac (@ Naive B cells)	Blood		naive B cell	
SRX11168193	GSM5370036	H3K27ac (@ Naive B cells)	Blood		naive B cell	
SRX11168194	GSM5370037	H3K27ac (@ Naive B cells)	Blood		naive B cell	
SRX16495374	GSM6347262	H3K27ac (@ Naive B cells)	Blood		naive B cell	
SRX16495375	GSM6347263	H3K27ac (@ Naive B cells)	Blood		naive B cell	
SRX16499784	GSM6373152	H3K27ac (@ Naive B cells)	Blood		naive B cell	
SRX16499785	GSM6373153	H3K27ac (@ Naive B cells)	Blood		naive B cell	
SRX16500179	GSM6373526	H3K27ac (@ Naive B cells)	Blood		naive B cell	
SRX16500180	GSM6373527	H3K27ac (@ Naive B cells)	Blood		naive B cell	
SRX1286408	GSM1893238	H3K27ac (@ CD4+ T cells)	Blood		naive T conventional cells (CD4+ CD25- CD45RA+) from donor 54	
SRX11159201	GSM5374623	H3K27ac (@ CD4+ T cells)	Blood		naive thymus-derived CD4-positive, alpha-beta T cell	
SRX11159202	GSM5374624	H3K27ac (@ CD4+ T cells)	Blood		naive thymus-derived CD4-positive, alpha-beta T cell	
SRX11159881	GSM5370050	H3K27ac (@ CD4+ T cells)	Blood		naive thymus-derived CD4-positive, alpha-beta T cell	
SRX11159882	GSM5370051	H3K27ac (@ CD4+ T cells)	Blood		naive thymus-derived CD4-positive, alpha-beta T cell	
SRX11160741	GSM5373998	H3K27ac (@ CD4+ T cells)	Blood		naive thymus-derived CD4-positive, alpha-beta T cell	
SRX11160742	GSM5373999	H3K27ac (@ CD4+ T cells)	Blood		naive thymus-derived CD4-positive, alpha-beta T cell	
SRX11163421	GSM5370328	H3K27ac (@ CD4+ T cells)	Blood		naive thymus-derived CD4-positive, alpha-beta T cell	
SRX11163422	GSM5370329	H3K27ac (@ CD4+ T cells)	Blood		naive thymus-derived CD4-positive, alpha-beta T cell	
SRX11166166	GSM5374150	H3K27ac (@ CD4+ T cells)	Blood		naive thymus-derived CD4-positive, alpha-beta T cell	
SRX11166167	GSM5374151	H3K27ac (@ CD4+ T cells)	Blood		naive thymus-derived CD4-positive, alpha-beta T cell	
SRX11167322	GSM5375115	H3K27ac (@ CD4+ T cells)	Blood		naive thymus-derived CD4-positive, alpha-beta T cell	
